"slug","product","productType","missingField","publicTreatment","action"
"dcx-wet-fully-automatic-magnetic-separator","DCX wet fully automatic magnetic separator","Wet magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dcx-wet-fully-automatic-magnetic-separator","DCX wet fully automatic magnetic separator","Wet magnetic separator","Drum speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dcx-wet-fully-automatic-magnetic-separator","DCX wet fully automatic magnetic separator","Wet magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dcx-wet-fully-automatic-magnetic-separator","DCX wet fully automatic magnetic separator","Wet magnetic separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dcz-type-dry-fully-automatic-magnetic-separation","DCZ type dry fully automatic magnetic separation","Industrial magnetic-process auxiliary equipment","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dcz-type-dry-fully-automatic-magnetic-separation","DCZ type dry fully automatic magnetic separation","Industrial magnetic-process auxiliary equipment","Application duty","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dcz-type-dry-fully-automatic-magnetic-separation","DCZ type dry fully automatic magnetic separation","Industrial magnetic-process auxiliary equipment","Installation interface","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dcz-type-dry-fully-automatic-magnetic-separation","DCZ type dry fully automatic magnetic separation","Industrial magnetic-process auxiliary equipment","Operating condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dcz-type-dry-fully-automatic-magnetic-separation","DCZ type dry fully automatic magnetic separation","Industrial magnetic-process auxiliary equipment","Power supply where applicable","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dcz-type-dry-fully-automatic-magnetic-separation","DCZ type dry fully automatic magnetic separation","Industrial magnetic-process auxiliary equipment","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dcz-type-dry-fully-automatic-magnetic-separation","DCZ type dry fully automatic magnetic separation","Industrial magnetic-process auxiliary equipment","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"gtc-wet-plate-magnetic-separator","GTC wet plate magnetic separator","High-gradient or specialist mineral magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"gtc-wet-plate-magnetic-separator","GTC wet plate magnetic separator","High-gradient or specialist mineral magnetic separator","Applicable mineral","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"gtc-wet-plate-magnetic-separator","GTC wet plate magnetic separator","High-gradient or specialist mineral magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"gtc-wet-plate-magnetic-separator","GTC wet plate magnetic separator","High-gradient or specialist mineral magnetic separator","Magnetic field configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"gtc-wet-plate-magnetic-separator","GTC wet plate magnetic separator","High-gradient or specialist mineral magnetic separator","Slurry density or feed condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"gtc-wet-plate-magnetic-separator","GTC wet plate magnetic separator","High-gradient or specialist mineral magnetic separator","Water requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"gtc-wet-plate-magnetic-separator","GTC wet plate magnetic separator","High-gradient or specialist mineral magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"gtc-wet-plate-magnetic-separator","GTC wet plate magnetic separator","High-gradient or specialist mineral magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"gtc-wet-plate-magnetic-separator","GTC wet plate magnetic separator","High-gradient or specialist mineral magnetic separator","Testwork requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-wet-vertical-ring-high-gradient-magnetic-separator","HJLH wet vertical ring high gradient magnetic separator","High-gradient or specialist mineral magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-wet-vertical-ring-high-gradient-magnetic-separator","HJLH wet vertical ring high gradient magnetic separator","High-gradient or specialist mineral magnetic separator","Applicable mineral","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-wet-vertical-ring-high-gradient-magnetic-separator","HJLH wet vertical ring high gradient magnetic separator","High-gradient or specialist mineral magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-wet-vertical-ring-high-gradient-magnetic-separator","HJLH wet vertical ring high gradient magnetic separator","High-gradient or specialist mineral magnetic separator","Magnetic field configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-wet-vertical-ring-high-gradient-magnetic-separator","HJLH wet vertical ring high gradient magnetic separator","High-gradient or specialist mineral magnetic separator","Slurry density or feed condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-wet-vertical-ring-high-gradient-magnetic-separator","HJLH wet vertical ring high gradient magnetic separator","High-gradient or specialist mineral magnetic separator","Water requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-wet-vertical-ring-high-gradient-magnetic-separator","HJLH wet vertical ring high gradient magnetic separator","High-gradient or specialist mineral magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-wet-vertical-ring-high-gradient-magnetic-separator","HJLH wet vertical ring high gradient magnetic separator","High-gradient or specialist mineral magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-wet-vertical-ring-high-gradient-magnetic-separator","HJLH wet vertical ring high gradient magnetic separator","High-gradient or specialist mineral magnetic separator","Testwork requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjpc-wet-disc-magnetic-separation","HJPC wet disc magnetic separation","High-gradient or specialist mineral magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjpc-wet-disc-magnetic-separation","HJPC wet disc magnetic separation","High-gradient or specialist mineral magnetic separator","Applicable mineral","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjpc-wet-disc-magnetic-separation","HJPC wet disc magnetic separation","High-gradient or specialist mineral magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjpc-wet-disc-magnetic-separation","HJPC wet disc magnetic separation","High-gradient or specialist mineral magnetic separator","Magnetic field configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjpc-wet-disc-magnetic-separation","HJPC wet disc magnetic separation","High-gradient or specialist mineral magnetic separator","Slurry density or feed condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjpc-wet-disc-magnetic-separation","HJPC wet disc magnetic separation","High-gradient or specialist mineral magnetic separator","Water requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjpc-wet-disc-magnetic-separation","HJPC wet disc magnetic separation","High-gradient or specialist mineral magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjpc-wet-disc-magnetic-separation","HJPC wet disc magnetic separation","High-gradient or specialist mineral magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjpc-wet-disc-magnetic-separation","HJPC wet disc magnetic separation","High-gradient or specialist mineral magnetic separator","Testwork requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","High-gradient or specialist mineral magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","High-gradient or specialist mineral magnetic separator","Applicable mineral","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","High-gradient or specialist mineral magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","High-gradient or specialist mineral magnetic separator","Magnetic field configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","High-gradient or specialist mineral magnetic separator","Slurry density or feed condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","High-gradient or specialist mineral magnetic separator","Water requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","High-gradient or specialist mineral magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","High-gradient or specialist mineral magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","High-gradient or specialist mineral magnetic separator","Testwork requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","Wet magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","Wet magnetic separator","Drum diameter × length","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","Wet magnetic separator","Tank type","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","Wet magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","Wet magnetic separator","Slurry density","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","Wet magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","Wet magnetic separator","Drum speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","Wet magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","Wet magnetic separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","Dry magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","Dry magnetic separator","Magnetic circuit","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","Dry magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","Dry magnetic separator","Feed moisture","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","Dry magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","Dry magnetic separator","Feed arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","Dry magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","Dry magnetic separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","Wet magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","Wet magnetic separator","Drum diameter × length","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","Wet magnetic separator","Tank type","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","Wet magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","Wet magnetic separator","Slurry density","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","Wet magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","Wet magnetic separator","Drum speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","Wet magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","Wet magnetic separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cts-type-downstream-wet-pre-selection-machine","CTS type downstream wet pre selection machine","Wet magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cts-type-downstream-wet-pre-selection-machine","CTS type downstream wet pre selection machine","Wet magnetic separator","Drum diameter × length","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cts-type-downstream-wet-pre-selection-machine","CTS type downstream wet pre selection machine","Wet magnetic separator","Tank type","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cts-type-downstream-wet-pre-selection-machine","CTS type downstream wet pre selection machine","Wet magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cts-type-downstream-wet-pre-selection-machine","CTS type downstream wet pre selection machine","Wet magnetic separator","Slurry density","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cts-type-downstream-wet-pre-selection-machine","CTS type downstream wet pre selection machine","Wet magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cts-type-downstream-wet-pre-selection-machine","CTS type downstream wet pre selection machine","Wet magnetic separator","Drum speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cts-type-downstream-wet-pre-selection-machine","CTS type downstream wet pre selection machine","Wet magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cts-type-downstream-wet-pre-selection-machine","CTS type downstream wet pre selection machine","Wet magnetic separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctzs-type-upward-suction-magnetic-separator","CTZS type upward suction magnetic separator","Wet magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctzs-type-upward-suction-magnetic-separator","CTZS type upward suction magnetic separator","Wet magnetic separator","Drum diameter × length","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctzs-type-upward-suction-magnetic-separator","CTZS type upward suction magnetic separator","Wet magnetic separator","Tank type","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctzs-type-upward-suction-magnetic-separator","CTZS type upward suction magnetic separator","Wet magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctzs-type-upward-suction-magnetic-separator","CTZS type upward suction magnetic separator","Wet magnetic separator","Slurry density","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctzs-type-upward-suction-magnetic-separator","CTZS type upward suction magnetic separator","Wet magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctzs-type-upward-suction-magnetic-separator","CTZS type upward suction magnetic separator","Wet magnetic separator","Drum speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctzs-type-upward-suction-magnetic-separator","CTZS type upward suction magnetic separator","Wet magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctzs-type-upward-suction-magnetic-separator","CTZS type upward suction magnetic separator","Wet magnetic separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hcg-type-dry-pre-selection-machine","HCG type dry pre selection machine","Dry magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hcg-type-dry-pre-selection-machine","HCG type dry pre selection machine","Dry magnetic separator","Magnetic circuit","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hcg-type-dry-pre-selection-machine","HCG type dry pre selection machine","Dry magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hcg-type-dry-pre-selection-machine","HCG type dry pre selection machine","Dry magnetic separator","Feed moisture","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hcg-type-dry-pre-selection-machine","HCG type dry pre selection machine","Dry magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hcg-type-dry-pre-selection-machine","HCG type dry pre selection machine","Dry magnetic separator","Feed arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hcg-type-dry-pre-selection-machine","HCG type dry pre selection machine","Dry magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hcg-type-dry-pre-selection-machine","HCG type dry pre selection machine","Dry magnetic separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-type-vertical-ring-high-gradient-magnetic-separation","HJLH type vertical ring high gradient magnetic separation","High-gradient or specialist mineral magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-type-vertical-ring-high-gradient-magnetic-separation","HJLH type vertical ring high gradient magnetic separation","High-gradient or specialist mineral magnetic separator","Applicable mineral","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-type-vertical-ring-high-gradient-magnetic-separation","HJLH type vertical ring high gradient magnetic separation","High-gradient or specialist mineral magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-type-vertical-ring-high-gradient-magnetic-separation","HJLH type vertical ring high gradient magnetic separation","High-gradient or specialist mineral magnetic separator","Magnetic field configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-type-vertical-ring-high-gradient-magnetic-separation","HJLH type vertical ring high gradient magnetic separation","High-gradient or specialist mineral magnetic separator","Slurry density or feed condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-type-vertical-ring-high-gradient-magnetic-separation","HJLH type vertical ring high gradient magnetic separation","High-gradient or specialist mineral magnetic separator","Water requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-type-vertical-ring-high-gradient-magnetic-separation","HJLH type vertical ring high gradient magnetic separation","High-gradient or specialist mineral magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-type-vertical-ring-high-gradient-magnetic-separation","HJLH type vertical ring high gradient magnetic separation","High-gradient or specialist mineral magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"hjlh-type-vertical-ring-high-gradient-magnetic-separation","HJLH type vertical ring high gradient magnetic separation","High-gradient or specialist mineral magnetic separator","Testwork requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ljk-type-magnetic-ore-special-iron-remover","LJK type magnetic ore special iron remover","High-gradient or specialist mineral magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ljk-type-magnetic-ore-special-iron-remover","LJK type magnetic ore special iron remover","High-gradient or specialist mineral magnetic separator","Applicable mineral","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ljk-type-magnetic-ore-special-iron-remover","LJK type magnetic ore special iron remover","High-gradient or specialist mineral magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ljk-type-magnetic-ore-special-iron-remover","LJK type magnetic ore special iron remover","High-gradient or specialist mineral magnetic separator","Magnetic field configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ljk-type-magnetic-ore-special-iron-remover","LJK type magnetic ore special iron remover","High-gradient or specialist mineral magnetic separator","Slurry density or feed condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ljk-type-magnetic-ore-special-iron-remover","LJK type magnetic ore special iron remover","High-gradient or specialist mineral magnetic separator","Water requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ljk-type-magnetic-ore-special-iron-remover","LJK type magnetic ore special iron remover","High-gradient or specialist mineral magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ljk-type-magnetic-ore-special-iron-remover","LJK type magnetic ore special iron remover","High-gradient or specialist mineral magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ljk-type-magnetic-ore-special-iron-remover","LJK type magnetic ore special iron remover","High-gradient or specialist mineral magnetic separator","Testwork requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"nct-type-concentrated-magnetic-separator","NCT type concentrated magnetic separator","High-gradient or specialist mineral magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"nct-type-concentrated-magnetic-separator","NCT type concentrated magnetic separator","High-gradient or specialist mineral magnetic separator","Applicable mineral","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"nct-type-concentrated-magnetic-separator","NCT type concentrated magnetic separator","High-gradient or specialist mineral magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"nct-type-concentrated-magnetic-separator","NCT type concentrated magnetic separator","High-gradient or specialist mineral magnetic separator","Magnetic field configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"nct-type-concentrated-magnetic-separator","NCT type concentrated magnetic separator","High-gradient or specialist mineral magnetic separator","Slurry density or feed condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"nct-type-concentrated-magnetic-separator","NCT type concentrated magnetic separator","High-gradient or specialist mineral magnetic separator","Water requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"nct-type-concentrated-magnetic-separator","NCT type concentrated magnetic separator","High-gradient or specialist mineral magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"nct-type-concentrated-magnetic-separator","NCT type concentrated magnetic separator","High-gradient or specialist mineral magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"nct-type-concentrated-magnetic-separator","NCT type concentrated magnetic separator","High-gradient or specialist mineral magnetic separator","Testwork requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wbc-semi-magnetic-tailings-recovery-machine","WBC semi magnetic tailings recovery machine","High-gradient or specialist mineral magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wbc-semi-magnetic-tailings-recovery-machine","WBC semi magnetic tailings recovery machine","High-gradient or specialist mineral magnetic separator","Applicable mineral","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wbc-semi-magnetic-tailings-recovery-machine","WBC semi magnetic tailings recovery machine","High-gradient or specialist mineral magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wbc-semi-magnetic-tailings-recovery-machine","WBC semi magnetic tailings recovery machine","High-gradient or specialist mineral magnetic separator","Magnetic field configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wbc-semi-magnetic-tailings-recovery-machine","WBC semi magnetic tailings recovery machine","High-gradient or specialist mineral magnetic separator","Slurry density or feed condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wbc-semi-magnetic-tailings-recovery-machine","WBC semi magnetic tailings recovery machine","High-gradient or specialist mineral magnetic separator","Water requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wbc-semi-magnetic-tailings-recovery-machine","WBC semi magnetic tailings recovery machine","High-gradient or specialist mineral magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wbc-semi-magnetic-tailings-recovery-machine","WBC semi magnetic tailings recovery machine","High-gradient or specialist mineral magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wbc-semi-magnetic-tailings-recovery-machine","WBC semi magnetic tailings recovery machine","High-gradient or specialist mineral magnetic separator","Testwork requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
